make,model,trim,year,msrp,selling_price,term,credit_tier,tier_range,credit_score,band,residual_pct,residual_dollar,money_factor,apr,monthly_payment,base_monthly,tax_pct,due_at_signing,cap_cost,mileage_adj,incentive_total,incentives,acquisition_fee,registration_fee,lender,lender_code,deal_id,region,zip_code,effective_month,source_url
Hyundai,Elantra,SEL Sport Premium IVT,2026,26990,25775.45,36,Super Elite,740+,750,740-1000,67.0,18083.3,0.00222,5.328,343.70,311.04,10.5,1596.88,25775.45,809.7,0,,650,441,Hyundai Motor Finance,HMF,261161,"Los Angeles, CA",92647,2026-06,https://autobandit.com/deals/261161
Hyundai,Elantra,SEL Sport Premium IVT,2026,26990,25775.45,36,Elite,700-739,720,720-739,67.0,18083.3,0.00222,5.328,343.70,311.04,10.5,1596.88,25775.45,809.7,0,,650,441,Hyundai Motor Finance,HMF,261161,"Los Angeles, CA",92647,2026-06,https://autobandit.com/deals/261161
Hyundai,Elantra,SEL Sport Premium IVT,2026,26990,25775.45,36,Standard,675-699,690,680-699,67.0,18083.3,0.00257,6.168,360.66,326.39,10.5,1613.84,25775.45,809.7,0,,650,441,Hyundai Motor Finance,HMF,261161,"Los Angeles, CA",92647,2026-06,https://autobandit.com/deals/261161
Hyundai,Elantra,SEL Sport Premium IVT,2026,26990,25775.45,36,Standard Plus,640-674,660,660-679,67.0,18083.3,0.00274,6.576,368.89,333.84,10.5,1622.07,25775.45,809.7,0,,650,441,Hyundai Motor Finance,HMF,261161,"Los Angeles, CA",92647,2026-06,https://autobandit.com/deals/261161
Hyundai,Elantra,SEL Sport Premium IVT,2026,26990,25775.45,36,Progressive,601-639,620,620-639,59.0,15924.1,0.00475,11.4,449.36,406.66,10.5,1912.54,23775.45,809.7,2000,"HMA Retail Bonus Cash $2,000",650,441,Hyundai Motor Finance,HMF,261161,"Los Angeles, CA",92647,2026-06,https://autobandit.com/deals/261161
Hyundai,Elantra,SEL Sport Premium IVT,2026,26990,25775.45,39,Super Elite,740+,750,740-1000,60.0,16194,0.00227,5.448,353.62,320.02,10.5,1685.55,25025.45,809.7,750,HMF Special Lease $750,650,441,Hyundai Motor Finance,HMF,261161,"Los Angeles, CA",92647,2026-06,https://autobandit.com/deals/261161
Hyundai,Elantra,SEL Sport Premium IVT,2026,26990,25775.45,39,Elite,700-739,720,720-739,60.0,16194,0.00227,5.448,353.62,320.02,10.5,1685.55,25025.45,809.7,750,HMF Special Lease $750,650,441,Hyundai Motor Finance,HMF,261161,"Los Angeles, CA",92647,2026-06,https://autobandit.com/deals/261161
Hyundai,Elantra,SEL Sport Premium IVT,2026,26990,25775.45,39,Standard,675-699,690,680-699,60.0,16194,0.00298,7.152,385.95,349.28,10.5,1717.88,25025.45,809.7,750,HMF Special Lease $750,650,441,Hyundai Motor Finance,HMF,261161,"Los Angeles, CA",92647,2026-06,https://autobandit.com/deals/261161
Hyundai,Elantra,SEL Sport Premium IVT,2026,26990,25775.45,39,Standard Plus,640-674,660,660-679,60.0,16194,0.00315,7.56,393.70,356.29,10.5,1725.63,25025.45,809.7,750,HMF Special Lease $750,650,441,Hyundai Motor Finance,HMF,261161,"Los Angeles, CA",92647,2026-06,https://autobandit.com/deals/261161
Hyundai,Elantra,SEL Sport Premium IVT,2026,26990,25775.45,39,Progressive,601-639,620,620-639,60.0,16194,0.00334,8.016,402.35,364.12,10.5,1734.28,25025.45,809.7,750,HMF Special Lease $750,650,441,Hyundai Motor Finance,HMF,261161,"Los Angeles, CA",92647,2026-06,https://autobandit.com/deals/261161
Hyundai,Elantra,SEL Sport Premium IVT,2026,26990,25775.45,42,Super Elite,740+,750,740-1000,50.0,13495,0.00282,6.768,386.61,349.87,10.5,1849.79,23775.45,809.7,2000,"HMA Retail Bonus Cash $2,000",650,441,Hyundai Motor Finance,HMF,261161,"Los Angeles, CA",92647,2026-06,https://autobandit.com/deals/261161
Hyundai,Elantra,SEL Sport Premium IVT,2026,26990,25775.45,42,Elite,700-739,720,720-739,50.0,13495,0.0031,7.44,398.14,360.31,10.5,1861.32,23775.45,809.7,2000,"HMA Retail Bonus Cash $2,000",650,441,Hyundai Motor Finance,HMF,261161,"Los Angeles, CA",92647,2026-06,https://autobandit.com/deals/261161
Hyundai,Elantra,SEL Sport Premium IVT,2026,26990,25775.45,42,Standard,675-699,690,680-699,50.0,13495,0.00369,8.856,422.44,382.3,10.5,1885.62,23775.45,809.7,2000,"HMA Retail Bonus Cash $2,000",650,441,Hyundai Motor Finance,HMF,261161,"Los Angeles, CA",92647,2026-06,https://autobandit.com/deals/261161
Hyundai,Elantra,SEL Sport Premium IVT,2026,26990,25775.45,42,Standard Plus,640-674,660,660-679,50.0,13495,0.0042,10.08,443.45,401.31,10.5,1906.63,23775.45,809.7,2000,"HMA Retail Bonus Cash $2,000",650,441,Hyundai Motor Finance,HMF,261161,"Los Angeles, CA",92647,2026-06,https://autobandit.com/deals/261161
Hyundai,Elantra,SEL Sport Premium IVT,2026,26990,25775.45,42,Progressive,601-639,620,620-639,50.0,13495,0.0048,11.52,468.16,423.67,10.5,1931.34,23775.45,809.7,2000,"HMA Retail Bonus Cash $2,000",650,441,Hyundai Motor Finance,HMF,261161,"Los Angeles, CA",92647,2026-06,https://autobandit.com/deals/261161
Hyundai,Elantra,SEL Sport Premium IVT,2026,26990,25775.45,48,Super Elite,740+,750,740-1000,55.0,14844.5,0.00263,6.312,369.69,334.56,10.5,1622.87,25775.45,809.7,0,,650,441,Hyundai Motor Finance,HMF,261161,"Los Angeles, CA",92647,2026-06,https://autobandit.com/deals/261161
Hyundai,Elantra,SEL Sport Premium IVT,2026,26990,25775.45,48,Elite,700-739,720,720-739,55.0,14844.5,0.00263,6.312,369.69,334.56,10.5,1622.87,25775.45,809.7,0,,650,441,Hyundai Motor Finance,HMF,261161,"Los Angeles, CA",92647,2026-06,https://autobandit.com/deals/261161
Hyundai,Elantra,SEL Sport Premium IVT,2026,26990,25775.45,48,Standard,675-699,690,680-699,55.0,14844.5,0.00307,7.368,389.44,352.43,10.5,1642.62,25775.45,809.7,0,,650,441,Hyundai Motor Finance,HMF,261161,"Los Angeles, CA",92647,2026-06,https://autobandit.com/deals/261161
Hyundai,Elantra,SEL Sport Premium IVT,2026,26990,25775.45,48,Standard Plus,640-674,660,660-679,55.0,14844.5,0.00327,7.848,398.42,360.56,10.5,1651.6,25775.45,809.7,0,,650,441,Hyundai Motor Finance,HMF,261161,"Los Angeles, CA",92647,2026-06,https://autobandit.com/deals/261161
Hyundai,Elantra,SEL Sport Premium IVT,2026,26990,25775.45,48,Progressive,601-639,620,620-639,46.0,12415.4,0.0048,11.52,453.48,410.39,10.5,1916.66,23775.45,809.7,2000,"HMA Retail Bonus Cash $2,000",650,441,Hyundai Motor Finance,HMF,261161,"Los Angeles, CA",92647,2026-06,https://autobandit.com/deals/261161
